Артикул;Код сайта;Наименование;Цена опт;РРЦ;Материал;Наличие на складе;Остаток;Бренд;Страна производства;Страна ТМ;Категория;Категория 2;Размеры;Вид упаковки;Ссылка на фото;;Штрих-код;Вес;Серия;
010.070800.036;39224;Мельница для соли и перца  AdHoc, серия CLASSIC MEDIUM;1807;2464;Нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;18 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/7660.jpg;;4037571320721;0.35;Мельницы;
010.070800.041;46442;Мельница 2 в 1 для соли/перца и специй AdHoc, серия DUOSPICE;2940;4009;Нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;22 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/10225.jpg;;4037571330935;0.31;Мельницы;
010.070800.042;46443;Мельница 2 в 1 для соли/перца и специй AdHoc, серия DUOSPICE;2205;3007;Нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;15 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/10224.jpg;;4037571330942;0.21;Мельницы;
010.070800.045;46451;Мельница 2 в 1 для соли/перца AdHoc, серия DUOMILL DOTS;3667;5000;Дерево, нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;5х5х19,6 см;Обычная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/10223.jpg;;4037571322411;0.44;Мельницы;
010.070800.053;48354;Мельница для соли/перца  AdHoc, серия Profi;2870;3914;Дерево, нержавеющая сталь;На складе;3;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;6,5х19 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/11527.jpg;;4037571322466;0.00;Мельницы;
010.070800.056;54884;Мельница для соли/перца  AdHoc, серия TEXTURA ANTIQUE, белый, 15см;1454;1983;Дерево, нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;15см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12872.jpg;;4037571386192;0.00;Мельницы;
010.070800.057;54885;Мельница для соли/перца  AdHoc, серия TEXTURA ANTIQUE, белый, 20см;1748;2384;Дерево, нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;20см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12873.jpg;;4037571386215;0.00;Мельницы;
010.070800.058;54886;Мельница для соли/перца  AdHoc, серия TEXTURA ANTIQUE, черный, 15см;1454;1983;Дерево, нержавеющая сталь;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;15см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12874.jpg;;4037571157242;0.00;Мельницы;
010.070800.059;54887;Мельница для соли/перца  AdHoc, серия TEXTURA ANTIQUE, черный, 20см;1748;2384;Дерево, нержавеющая сталь;На складе;2;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;20см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/12875.jpg;;4037571157280;0.00;Мельницы;
010.070800.060;55779;Набор из 2-х мельниц для соли и перца AdHoc, серия TWIN;2043;2786;Пластик, дерево;Ожидается;Ожидается;Adhoc;КИТАЙ;Германия;Кухонные принадлежности;Мельницы;13,3 см;Подарочная упаковка;http://www.annalafarg.ru/files/catalog/tovs/main_normal/13560.jpg;;4037571386222;0.32;Мельницы;
